Year,Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
2021,JAGUAR LAND ROVER LIMITED,PETROL/ELECTRIC,8775,8.08,2.34,5.74,245.42,183.95,53.25,130.7,245.42,8.54,2.44,6.1,249.51,194.49,55.65,138.84,249.51
2022,OPEL AUTOMOBILE,PETROL,3799,6.84,5.93,0.91,15.28,155.84,135.19,20.65,15.28,6.72,5.92,0.79,13.35,152.98,134.96,18.02,13.35
2022,JAGUAR LAND ROVER LIMITED,PETROL/ELECTRIC,7434,8.05,1.88,6.17,327.71,183.34,42.86,140.47,327.71,8.07,1.88,6.19,329.15,183.77,42.82,140.95,329.15
2021,ROLLS ROYCE,PETROL,111,19.81,16,3.81,23.81,451.34,364.53,86.81,23.81,18.86,16.02,2.85,17.77,429.74,364.89,64.85,17.77
2022,PORSCHE,PETROL,4020,13.03,11.08,1.95,17.6,296.8,252.38,44.42,17.6,12.65,11.08,1.57,14.15,288.07,252.35,35.72,14.15
2022,VOLKSWAGEN,DIESEL,24189,6.72,5.8,0.92,15.86,176.84,152.63,24.21,15.86,6.5,5.65,0.85,15.03,170.91,148.58,22.33,15.03
2022,MAZDA,PETROL,3999,7.36,6.2,1.16,18.79,167.7,141.17,26.53,18.79,7.3,6.37,0.93,14.54,166.28,145.17,21.11,14.54
2022,PORSCHE,PETROL/ELECTRIC,1044,10.33,3,7.33,244.06,235.38,68.41,166.96,244.06,10.38,3.06,7.32,239.24,236.35,69.67,166.68,239.24
2021,SKODA,PETROL,40583,6.86,5.92,0.94,15.91,156.35,134.89,21.46,15.91,6.76,5.94,0.83,13.91,154.03,135.23,18.81,13.91
2022,KIA,PETROL/ELECTRIC,87,5.09,1.56,3.53,226.07,115.85,35.53,80.32,226.07,5.08,1.54,3.54,229.76,115.79,35.11,80.68,229.76
