Year,Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
2022,AUTOMOBILES PEUGEOT,PETROL/ELECTRIC,6,6.71,1.35,5.36,398.42,152.85,30.67,122.18,398.42,7.48,1.35,6.14,455.14,170.46,30.71,139.76,455.14
2021,CHRYSLER,PETROL,28,9.35,7.26,2.09,28.77,213.06,165.46,47.6,28.77,9.8,7.71,2.09,27.16,223.34,175.63,47.71,27.16
2021,DACIA,DIESEL,13,6.02,4.86,1.17,23.98,158.5,127.85,30.66,23.98,6.03,4.86,1.18,24.25,158.77,127.78,30.99,24.25
2021,FIAT GROUP,PETROL,1427,6.77,5.56,1.22,21.88,154.26,126.57,27.69,21.88,6.55,5.61,0.95,16.9,149.3,127.71,21.59,16.9
2021,FORD WERKE GMBH,PETROL/ELECTRIC,36,5.44,1.34,4.1,305.12,124.01,30.61,93.4,305.12,5.31,1.26,4.04,319.9,120.94,28.8,92.14,319.9
2021,MAZDA,DIESEL,3,6.66,6.08,0.58,9.54,175.27,160,15.27,9.54,6.79,6.21,0.58,9.35,178.72,163.43,15.28,9.35
2021,MERCEDES-BENZ AG,PETROL/ELECTRIC,2,7.13,1.05,6.08,577.18,162.52,24,138.52,577.18,7.19,1.05,6.14,582.42,163.78,24,139.78,582.42
2021,OPEL AUTOMOBILE,DIESEL,74,5.78,5.04,0.74,14.63,152.04,132.64,19.41,14.63,5.8,4.99,0.81,16.24,152.48,131.17,21.31,16.24
2022,OPEL AUTOMOBILE,PETROL,23,7.74,6.73,1.01,15.03,176.25,153.22,23.03,15.03,7.54,6.48,1.06,16.35,171.86,147.71,24.15,16.35
2022,RENAULT,DIESEL,8737,8.31,7.03,1.28,18.18,218.51,184.9,33.61,18.18,8.33,7.29,1.04,14.2,219.08,191.85,27.24,14.2
2022,RENAULT,PETROL,934,7.42,5.87,1.55,26.38,169.07,133.78,35.29,26.38,7.26,5.88,1.38,23.43,165.33,133.95,31.38,23.43
2022,SKODA,PETROL,2,6.69,5.86,0.83,14.09,152.31,133.5,18.81,14.09,6.8,5.91,0.88,14.91,154.8,134.72,20.08,14.91
2022,STELLANTIS EUROPE,DIESEL,5349,8.05,6.93,1.12,16.18,211.77,182.29,29.48,16.18,7.96,6.98,0.98,14.04,209.54,183.74,25.8,14.04
2021,TOYOTA,PETROL,41,5.65,5,0.65,12.97,128.65,113.88,14.78,12.97,5.44,4.9,0.54,11.1,124,111.62,12.38,11.1
2021,VOLVO,PETROL,183,8.47,7.22,1.25,17.35,193.04,164.49,28.55,17.35,8.39,7.22,1.17,16.23,191.21,164.51,26.71,16.23
